class,number,section,time,room,prof,enrollment
 CURR 383B - Elementary Mathematics (PJ) ,2435,"004-LEC
Education","Tu 8:30AM - 10:30AM
Mo 8:30AM - 12:30PM
Mo 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM","DUNCAN MCARTHUR RM A339
DUNCAN MCARTHUR RM A339
DUNCAN MCARTHUR RM A339
DUNCAN MCARTHUR RM A339","McDuff,Joan E
McDuff,Joan E
McDuff,Joan E
McDuff,Joan E",37
 CURR 383B - Elementary Mathematics (PJ) ,2436,"005-LEC
Education","Tu 8:30AM - 10:30AM
Tu 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
Tu 8:30AM - 10:30AM","DUNCAN MCARTHUR RM A339
DUNCAN MCARTHUR RM A339
DUNCAN MCARTHUR RM A339
DUNCAN MCARTHUR RM A339","McDuff,Joan E
McDuff,Joan E
McDuff,Joan E
McDuff,Joan E",39
 CURR 385 - Social Studies (PJ) ,2438,"004-LEC
Education","Tu 8:30AM - 10:30AM
Tu 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
Tu 8:30AM - 10:30AM","DUNCAN MCARTHUR RM A239
DUNCAN MCARTHUR RM A239
DUNCAN MCARTHUR RM A239
DUNCAN MCARTHUR RM A239","Ogden,Holly Christine
Ogden,Holly Christine
Ogden,Holly Christine
Ogden,Holly Christine",37
 CURR 385 - Social Studies (PJ) ,2440,"006-LEC
Education","Mo 9:00AM - 11:00AM
Mo 8:30AM - 12:30PM
Tu 8:30AM - 10:30AM
Mo 9:00AM - 11:00AM","DUNCAN MCARTHUR RM A239
DUNCAN MCARTHUR RM A239
DUNCAN MCARTHUR RM A239
DUNCAN MCARTHUR RM A239","Ogden,Holly Christine
Ogden,Holly Christine
Ogden,Holly Christine
Ogden,Holly Christine",35
 CURR 387B - Science and Technology (PJ) ,2443,"002-LEC
Education","Tu 8:30AM - 10:30AM
Mo 8:30AM - 12:30PM
Mo 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM","DUNCAN MCARTHUR RM A334
DUNCAN MCARTHUR RM A334
DUNCAN MCARTHUR RM A334
DUNCAN MCARTHUR RM A334","Lawrence,Diane M
Lawrence,Diane M
Lawrence,Diane M
Lawrence,Diane M",38
 CURR 387B - Science and Technology (PJ) ,2444,"003-LEC
Education","Tu 8:30AM - 10:30AM
Tu 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
Tu 8:30AM - 10:30AM","DUNCAN MCARTHUR RM A334
DUNCAN MCARTHUR RM A334
DUNCAN MCARTHUR RM A334
DUNCAN MCARTHUR RM A334","Lawrence,Diane M
Lawrence,Diane M
Lawrence,Diane M
Lawrence,Diane M",37
 CURR 389 - Art (PJ) ,2448,"001-LEC
Education","Mo 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
Tu 8:30AM - 10:30AM
Mo 8:30AM - 12:30PM","DUNCAN MCARTHUR RM A330
DUNCAN MCARTHUR RM A330
DUNCAN MCARTHUR RM A330
DUNCAN MCARTHUR RM A330","Solar,Angela
Solar,Angela
Solar,Angela
Solar,Angela",40
 CURR 393 - Music (PJ) ,2454,"001-LEC
Education","Tu 8:30AM - 10:30AM
Tu 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
Tu 8:30AM - 10:30AM","DUNCAN MCARTHUR RM B219
DUNCAN MCARTHUR RM B219
DUNCAN MCARTHUR RM B219
DUNCAN MCARTHUR RM B219","Strong,Trevor Owen
Strong,Trevor Owen
Strong,Trevor Owen
Strong,Trevor Owen",40
 DEVS 300 - Cross-Cultural Research Method ,1914,"002-TUT
Regular",Mo 8:30AM - 9:30AM,ELLIS RM218,Staff,14
 DEVS 311 - Labour and Global Development ,2335,"004-TUT
Regular",Mo 8:30AM - 9:30AM,MACINTOSH-CORRY RM E229,Staff,25
