class,number,section,time,room,prof,enrollment
 CURR 324 - Geography (IS) ,2414,"001-LEC
Education","TuTh 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM","DUNCAN MCARTHUR RM A240
DUNCAN MCARTHUR RM A240
DUNCAN MCARTHUR RM A240
DUNCAN MCARTHUR RM A240","Smith,Anne
Smith,Anne
Smith,Anne
Smith,Anne",31
 CURR 336 - History Teach Theory&Prac (IS) ,2415,"001-LEC
Education","TuTh 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM","DUNCAN MCARTHUR RM A234
DUNCAN MCARTHUR RM A234
DUNCAN MCARTHUR RM A234
DUNCAN MCARTHUR RM A234","Bruno-Jofre,Rosa
Bruno-Jofre,Rosa
Bruno-Jofre,Rosa
Bruno-Jofre,Rosa",29
 CURR 336 - History Teach Theory&Prac (IS) ,2417,"003-LEC
Education","Tu 8:30AM - 10:30AM
Mo 8:30AM - 12:30PM
We 10:50AM - 12:50PM
We 10:50AM - 12:50PM
Mo 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM","DUNCAN MCARTHUR RM A234
DUNCAN MCARTHUR RM A234
DUNCAN MCARTHUR RM A234
DUNCAN MCARTHUR RM A234
DUNCAN MCARTHUR RM A234
DUNCAN MCARTHUR RM A234","Bruno-Jofre,Rosa
Bruno-Jofre,Rosa
Bruno-Jofre,Rosa
Bruno-Jofre,Rosa
Bruno-Jofre,Rosa
Bruno-Jofre,Rosa",28
 CURR 352 - Physics Teach Theory&Prac (IS) ,2420,"001-LEC
Education","TuTh 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM","DUNCAN MCARTHUR RM A335
DUNCAN MCARTHUR RM A335
DUNCAN MCARTHUR RM A335
DUNCAN MCARTHUR RM A335","Russell,Tom
Russell,Tom
Russell,Tom
Russell,Tom",9
 CURR 355B - Language and Literacy (PJ) ,2422,"002-LEC
Education","Tu 8:30AM - 10:30AM
Tu 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
Tu 8:30AM - 10:30AM","DUNCAN MCARTHUR RM A227W
DUNCAN MCARTHUR RM A227W
DUNCAN MCARTHUR RM A227W
DUNCAN MCARTHUR RM A227W","Youmans,Alexandra Sandra
Youmans,Alexandra Sandra
Youmans,Alexandra Sandra
Youmans,Alexandra Sandra",38
 CURR 380 - Visual Arts (IS) ,2431,"001-LEC
Education","TuTh 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM","DUNCAN MCARTHUR RM A330
DUNCAN MCARTHUR RM A330
DUNCAN MCARTHUR RM A330
DUNCAN MCARTHUR RM A330","Wilikinson,Alan
Wilikinson,Alan
Wilikinson,Alan
Wilikinson,Alan",15
 CURR 383B - Elementary Mathematics (PJ) ,2435,"004-LEC
Education","Tu 8:30AM - 10:30AM
Mo 8:30AM - 12:30PM
Mo 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM","DUNCAN MCARTHUR RM A339
DUNCAN MCARTHUR RM A339
DUNCAN MCARTHUR RM A339
DUNCAN MCARTHUR RM A339","McDuff,Joan E
McDuff,Joan E
McDuff,Joan E
McDuff,Joan E",37
 CURR 383B - Elementary Mathematics (PJ) ,2436,"005-LEC
Education","Tu 8:30AM - 10:30AM
Tu 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
Tu 8:30AM - 10:30AM","DUNCAN MCARTHUR RM A339
DUNCAN MCARTHUR RM A339
DUNCAN MCARTHUR RM A339
DUNCAN MCARTHUR RM A339","McDuff,Joan E
McDuff,Joan E
McDuff,Joan E
McDuff,Joan E",39
 CURR 385 - Social Studies (PJ) ,2438,"004-LEC
Education","Tu 8:30AM - 10:30AM
Tu 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
Tu 8:30AM - 10:30AM","DUNCAN MCARTHUR RM A239
DUNCAN MCARTHUR RM A239
DUNCAN MCARTHUR RM A239
DUNCAN MCARTHUR RM A239","Ogden,Holly Christine
Ogden,Holly Christine
Ogden,Holly Christine
Ogden,Holly Christine",37
 CURR 385 - Social Studies (PJ) ,2440,"006-LEC
Education","Mo 9:00AM - 11:00AM
Mo 8:30AM - 12:30PM
Tu 8:30AM - 10:30AM
Mo 9:00AM - 11:00AM","DUNCAN MCARTHUR RM A239
DUNCAN MCARTHUR RM A239
DUNCAN MCARTHUR RM A239
DUNCAN MCARTHUR RM A239","Ogden,Holly Christine
Ogden,Holly Christine
Ogden,Holly Christine
Ogden,Holly Christine",35
 CURR 387B - Science and Technology (PJ) ,2443,"002-LEC
Education","Tu 8:30AM - 10:30AM
Mo 8:30AM - 12:30PM
Mo 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM","DUNCAN MCARTHUR RM A334
DUNCAN MCARTHUR RM A334
DUNCAN MCARTHUR RM A334
DUNCAN MCARTHUR RM A334","Lawrence,Diane M
Lawrence,Diane M
Lawrence,Diane M
Lawrence,Diane M",38
